* Block Type = 384-Well Block
* Calibration Background is expired  = No
* Calibration Background performed on = 04-07-2021
* Calibration Pure Dye CY5 is expired = Yes
* Calibration Pure Dye CY5 performed on = 10-23-2020
* Calibration Pure Dye FAM is expired = No
* Calibration Pure Dye FAM performed on = 04-07-2021
* Calibration Pure Dye HEX is expired = Yes
* Calibration Pure Dye HEX performed on = 06-01-2020
* Calibration Pure Dye NED is expired = No
* Calibration Pure Dye NED performed on = 04-07-2021
* Calibration Pure Dye ROX is expired = No
* Calibration Pure Dye ROX performed on = 04-07-2021
* Calibration Pure Dye SYBR is expired = No
* Calibration Pure Dye SYBR performed on = 04-07-2021
* Calibration Pure Dye TAMRA is expired = No
* Calibration Pure Dye TAMRA performed on = 04-07-2021
* Calibration Pure Dye VIC is expired = No
* Calibration Pure Dye VIC performed on = 04-07-2021
* Calibration RNaseP is expired  = No
* Calibration RNaseP performed on = 04-07-2021
* Calibration ROI is expired  = No
* Calibration ROI performed on = 04-07-2021
* Calibration Uniformity is expired  = No
* Calibration Uniformity performed on = 04-07-2021
* Chemistry = OTHER
* Date Created = 
* Experiment Barcode = 
* Experiment Comment = 
* Experiment File Name = E:\MeltCurve4sConditions.eds
* Experiment Name = MeltCurve4sConditions
* Experiment Run End Time = 2021-05-31 20:22:26 PM CEST
* Experiment Type = Melt Curve
* Instrument Name = 278860619
* Instrument Serial Number = 278860619
* Instrument Type = QuantStudio(TM) 6 Flex System
* Passive Reference = 
* Quantification Cycle Method = Ct
* Signal Smoothing On = true
* User Name = Carles Torner

[Melt Curve Raw Data]
Well	Well Position	Reading	Temperature	Fluorescence	Derivative
15	A15	208	86.992	17,743.010	11,865.884
15	A15	209	87.292	17,161.246	12,257.858
15	A15	210	87.591	17,064.443	12,598.577
15	A15	211	87.891	16,874.115	12,829.775
15	A15	212	88.190	16,569.535	12,951.461
15	A15	213	88.490	16,248.725	12,997.079
15	A15	214	88.789	15,935.016	12,999.720
15	A15	215	89.089	15,909.146	12,970.435
15	A15	216	89.388	15,378.723	12,896.570
15	A15	217	89.688	15,316.436	12,757.261
15	A15	218	89.987	14,814.598	12,546.109
15	A15	219	90.287	14,651.516	12,286.260
15	A15	220	90.586	14,494.948	12,025.634
15	A15	221	90.886	14,372.194	11,813.696
15	A15	222	91.185	13,936.897	11,675.330
15	A15	223	91.485	13,660.019	11,599.848
15	A15	224	91.784	13,723.829	11,551.914
15	A15	225	92.084	13,312.692	11,496.738
15	A15	226	92.383	12,852.943	11,421.356
15	A15	227	92.682	12,790.763	11,333.723
15	A15	228	92.982	12,769.399	11,232.049
15	A15	229	93.281	12,478.423	11,060.724
15	A15	230	93.581	12,041.437	10,689.703
15	A15	231	93.880	11,965.929	9,949.921
15	A15	232	94.180	11,532.640	8,720.961
15	A15	233	94.479	11,307.188	7,022.853
15	A15	234	94.779	11,021.194	5,048.922
16	A16	1	25.000	900.776	4,514.884
16	A16	2	25.299	758.741	5,149.687
16	A16	3	25.599	593.012	5,811.585
16	A16	4	25.898	352.236	6,328.799
16	A16	5	26.198	209.188	6,574.902
16	A16	6	26.497	-33.420	6,514.480
16	A16	7	26.797	4.937	6,200.466
16	A16	8	27.096	-367.874	5,729.466
16	A16	9	27.396	-145.360	5,186.401
16	A16	10	27.695	-269.726	4,613.939
16	A16	11	27.995	-484.419	4,023.307
16	A16	12	28.294	-556.390	3,433.224
16	A16	13	28.594	-661.251	2,902.314
16	A16	14	28.893	-633.263	2,524.074
16	A16	15	29.193	-645.130	2,380.867
16	A16	16	29.492	-442.486	2,485.394
16	A16	17	29.792	-757.856	2,751.038
16	A16	18	30.091	-502.970	3,016.448
16	A16	19	30.391	-867.157	3,115.269
16	A16	20	30.690	-1,022.887	2,952.160
16	A16	21	30.990	-1,147.106	2,541.668
16	A16	22	31.289	-969.846	1,990.555
16	A16	23	31.589	-1,023.114	1,439.034
16	A16	24	31.888	-1,068.274	996.707
16	A16	25	32.188	-1,026.683	703.284
16	A16	26	32.487	-1,088.331	524.389
16	A16	27	32.786	-970.505	377.341
16	A16	28	33.086	-998.653	175.742
16	A16	29	33.385	-1,150.448	-123.823
16	A16	30	33.685	-1,257.711	-497.258
16	A16	31	33.984	-1,110.968	-871.748
16	A16	32	34.284	-1,026.929	-1,183.677
16	A16	33	34.583	-912.223	-1,437.044
16	A16	34	34.883	-716.503	-1,713.123
16	A16	35	35.182	-1,034.306	-2,114.939
16	A16	36	35.482	-1,174.852	-2,684.771
16	A16	37	35.781	-1,009.156	-3,360.423
16	A16	38	36.081	-806.622	-4,007.329
16	A16	39	36.380	-520.968	-4,501.647
16	A16	40	36.680	-533.622	-4,800.002
16	A16	41	36.979	-414.222	-4,948.836
16	A16	42	37.279	-497.362	-5,039.629
